word,n,prob
0,207,3.6243683618905544e-4
"0,01",1,1.750902590285292e-6
"0,2",2,3.501805180570584e-6
"0,25",2,3.501805180570584e-6
"0,3",2,3.501805180570584e-6
"0,4",5,8.75451295142646e-6
"0,5",3,5.2527077708558765e-6
"0,8",2,3.501805180570584e-6
"0,9",1,1.750902590285292e-6
0.05,1,1.750902590285292e-6
0.25,1,1.750902590285292e-6
00.13,1,1.750902590285292e-6
000,18,3.151624662513526e-5
007,6,1.0505415541711753e-5
02,1,1.750902590285292e-6
03,1,1.750902590285292e-6
04,2,3.501805180570584e-6
06.10,1,1.750902590285292e-6
07.10,1,1.750902590285292e-6
079,3,5.2527077708558765e-6
1,481,8.421841459272254e-4
"1,0823",1,1.750902590285292e-6
"1,09",1,1.750902590285292e-6
"1,10",1,1.750902590285292e-6
"1,1444",1,1.750902590285292e-6
"1,2",13,2.2761733673708796e-5
"1,25",1,1.750902590285292e-6
"1,3",2,3.501805180570584e-6
"1,4",5,8.75451295142646e-6
"1,40",1,1.750902590285292e-6
"1,45",2,3.501805180570584e-6
"1,48",1,1.750902590285292e-6
"1,5",19,3.326714921542055e-5
"1,50",1,1.750902590285292e-6
"1,545",1,1.750902590285292e-6
"1,57",1,1.750902590285292e-6
"1,6",1,1.750902590285292e-6
"1,60",1,1.750902590285292e-6
"1,7",3,5.2527077708558765e-6
"1,77",1,1.750902590285292e-6
"1,8",4,7.003610361141168e-6
"1,80",1,1.750902590285292e-6
1.09,1,1.750902590285292e-6
1.10,1,1.750902590285292e-6
1.20,1,1.750902590285292e-6
1.25,1,1.750902590285292e-6
1.27,1,1.750902590285292e-6
1.45,1,1.750902590285292e-6
1.5,1,1.750902590285292e-6
1.7,1,1.750902590285292e-6
1'000,2,3.501805180570584e-6
1'500,1,1.750902590285292e-6
10,188,3.291696869736349e-4
"10,6",1,1.750902590285292e-6
"10,8",1,1.750902590285292e-6
10'000,24,4.202166216684701e-5
10'000er,1,1.750902590285292e-6
10'100,1,1.750902590285292e-6
10'200,1,1.750902590285292e-6
10'261,1,1.750902590285292e-6
10'300,1,1.750902590285292e-6
10'329,1,1.750902590285292e-6
10'500,1,1.750902590285292e-6
10'532,1,1.750902590285292e-6
100,181,3.169133688416379e-4
100'000,35,6.128159065998522e-5
100'800,1,1.750902590285292e-6
1000,75,1.313176942713969e-4
1000er,15,2.6263538854279383e-5
1001,1,1.750902590285292e-6
100er,17,2.9765344034849966e-5
100m,1,1.750902590285292e-6
101,8,1.4007220722282336e-5
1020,1,1.750902590285292e-6
1028,1,1.750902590285292e-6
103,7,1.2256318131997045e-5
105,4,7.003610361141168e-6
106,3,5.2527077708558765e-6
107,1,1.750902590285292e-6
108,2,3.501805180570584e-6
"108,3",1,1.750902590285292e-6
109,1,1.750902590285292e-6
11,89,1.55830330535391e-4
"11,6",1,1.750902590285292e-6
11.30,1,1.750902590285292e-6
11'000,4,7.003610361141168e-6
11'500,1,1.750902590285292e-6
110,8,1.4007220722282336e-5
110'000,2,3.501805180570584e-6
1100,3,5.2527077708558765e-6
111,2,3.501805180570584e-6
111'000,2,3.501805180570584e-6
112,3,5.2527077708558765e-6
1120,1,1.750902590285292e-6
1125,1,1.750902590285292e-6
113'000,4,7.003610361141168e-6
114,2,3.501805180570584e-6
114'000,1,1.750902590285292e-6
1148,1,1.750902590285292e-6
115,3,5.2527077708558765e-6
115'000,2,3.501805180570584e-6
1150,1,1.750902590285292e-6
1154,1,1.750902590285292e-6
116,2,3.501805180570584e-6
117,10,1.750902590285292e-5
119,1,1.750902590285292e-6
1190,1,1.750902590285292e-6
12,109,1.9084838234109683e-4
"12,5",2,3.501805180570584e-6
"12,8",1,1.750902590285292e-6
12.1.4,1,1.750902590285292e-6
12.30,1,1.750902590285292e-6
12.4.1,1,1.750902590285292e-6
12'000,9,1.575812331256763e-5
12'400,1,1.750902590285292e-6
12'500,3,5.2527077708558765e-6
120,23,4.0270759576561716e-5
120'000,6,1.0505415541711753e-5
1200,4,7.003610361141168e-6
1204,1,1.750902590285292e-6
120er,1,1.750902590285292e-6
121,1,1.750902590285292e-6
122,3,5.2527077708558765e-6
122'000,1,1.750902590285292e-6
125,3,5.2527077708558765e-6
125'000,1,1.750902590285292e-6
1250,1,1.750902590285292e-6
126,2,3.501805180570584e-6
127,1,1.750902590285292e-6
"127,2",1,1.750902590285292e-6
128,5,8.75451295142646e-6
129,2,3.501805180570584e-6
1299,1,1.750902590285292e-6
13,119,2.0835740824394976e-4
"13,48",1,1.750902590285292e-6
"13,6",2,3.501805180570584e-6
"13,8",1,1.750902590285292e-6
13.00,1,1.750902590285292e-6
13.2,1,1.750902590285292e-6
13.30,1,1.750902590285292e-6
13'000,3,5.2527077708558765e-6
13'880,1,1.750902590285292e-6
130,10,1.750902590285292e-5
130'000,2,3.501805180570584e-6
1300,7,1.2256318131997045e-5
1300er,1,1.750902590285292e-6
1304,1,1.750902590285292e-6
130km,1,1.750902590285292e-6
131,1,1.750902590285292e-6
1326,1,1.750902590285292e-6
1327,1,1.750902590285292e-6
1329,3,5.2527077708558765e-6
133,1,1.750902590285292e-6
134,1,1.750902590285292e-6
135,3,5.2527077708558765e-6
1350,2,3.501805180570584e-6
135i,1,1.750902590285292e-6
136,2,3.501805180570584e-6
"138,2",1,1.750902590285292e-6
1385,1,1.750902590285292e-6
14,147,2.573826807719379e-4
"14,1",1,1.750902590285292e-6
"14,9",1,1.750902590285292e-6
14'000,2,3.501805180570584e-6
