word,n,prob
0,46,1.4049834150870784e-4
"0,2",1,3.0543117719284313e-6
"0,5",1,3.0543117719284313e-6
"0,6",2,6.1086235438568626e-6
"0,75",1,3.0543117719284313e-6
000,94,2.871053065612725e-4
04,5,1.5271558859642157e-5
052,1,3.0543117719284313e-6
069,1,3.0543117719284313e-6
07,1,3.0543117719284313e-6
08,1,3.0543117719284313e-6
09,1,3.0543117719284313e-6
1,138,4.214950245261235e-4
"1,1",1,3.0543117719284313e-6
"1,10",1,3.0543117719284313e-6
"1,2",4,1.2217247087713725e-5
"1,3",4,1.2217247087713725e-5
"1,4",4,1.2217247087713725e-5
"1,5",5,1.5271558859642157e-5
"1,6",1,3.0543117719284313e-6
"1,733",1,3.0543117719284313e-6
"1,78",1,3.0543117719284313e-6
"1,8",3,9.162935315785295e-6
"1,9",2,6.1086235438568626e-6
1.09,1,3.0543117719284313e-6
1'200,1,3.0543117719284313e-6
10,59,1.8020439454377745e-4
10'000,1,3.0543117719284313e-6
100,58,1.7715008277184902e-4
1000,17,5.192330012278333e-5
10000,1,3.0543117719284313e-6
1000er,1,3.0543117719284313e-6
101,1,3.0543117719284313e-6
106,1,3.0543117719284313e-6
107,1,3.0543117719284313e-6
1087,1,3.0543117719284313e-6
11,20,6.108623543856863e-5
"11,4",1,3.0543117719284313e-6
110,6,1.832587063157059e-5
1100,1,3.0543117719284313e-6
111,1,3.0543117719284313e-6
112,1,3.0543117719284313e-6
114,1,3.0543117719284313e-6
115,1,3.0543117719284313e-6
117,2,6.1086235438568626e-6
118,2,6.1086235438568626e-6
119,1,3.0543117719284313e-6
12,25,7.635779429821078e-5
"12,8",1,3.0543117719284313e-6
120,7,2.1380182403499018e-5
1200,2,6.1086235438568626e-6
1217,1,3.0543117719284313e-6
123,1,3.0543117719284313e-6
125,3,9.162935315785295e-6
126,2,6.1086235438568626e-6
128,1,3.0543117719284313e-6
13,26,7.941210607013922e-5
130,4,1.2217247087713725e-5
1300,4,1.2217247087713725e-5
131,1,3.0543117719284313e-6
132,1,3.0543117719284313e-6
1331,1,3.0543117719284313e-6
135,1,3.0543117719284313e-6
1369,1,3.0543117719284313e-6
137,2,6.1086235438568626e-6
14,24,7.330348252628236e-5
140,2,6.1086235438568626e-6
141,1,3.0543117719284313e-6
144,3,9.162935315785295e-6
1450,2,6.1086235438568626e-6
148,1,3.0543117719284313e-6
